DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Weapon Desc,LAT,LON,Closest Restaurant,Restaurant Address
10/17/2017,400,Foothill,BURGLARY,,34.256,-118.2932,,
10/23/2017,1100,West Valley,VEHICLE,,34.21,-118.4925,,
10/21/2017,1050,77th Street,THEFT,,33.9892,-118.2937,,
10/7/2017,2030,Mission,VEHICLE,,34.2454,-118.4505,,
10/30/2017,1340,N Hollywood,SHOPLIFTING,,34.1867,-118.3703,,
10/29/2017,5,N Hollywood,THEFT,,34.1397,-118.3811,,
10/25/2017,1517,Central,THEFT,,34.0472,-118.2371,,
10/6/2017,100,77th Street,BATTERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.9771,-118.2916,,
10/14/2017,1200,West LA,THEFT,,34.0495,-118.3805,,
10/8/2017,930,77th Street,SHOPLIFTING,,33.9892,-118.3089,,
10/14/2017,2200,Hollenbeck,BATTERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0365,-118.2002,,
10/20/2017,100,Wilshire,THEFT,,34.0847,-118.3686,,
10/9/2017,315,Van Nuys,THEFT,,34.16,-118.4662,,
10/20/2017,1800,Harbor,VEHICLE,,33.7388,-118.2879,,
10/1/2017,1930,Rampart,VEHICLE,,34.0509,-118.2642,,
10/10/2017,1820,Newton,ROBBERY,UNKNOWN WEAPON/OTHER WEAPON,34.0341,-118.2507,,
10/30/2017,1000,Olympic,ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0608,-118.2954,,
10/15/2017,1815,Hollenbeck,THEFT,,34.0462,-118.2153,,
10/27/2017,1000,N Hollywood,BURGLARY,,34.1434,-118.3978,,
10/21/2017,1000,Van Nuys,THEFT,,34.2048,-118.4531,,
10/15/2017,300,Central,THEFT,,34.0421,-118.2469,,
10/8/2017,900,Mission,VIOLATION OF,,34.3083,-118.4442,,
10/9/2017,1935,Mission,ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.2117,-118.4345,,
10/29/2017,930,West LA,SHOPLIFTING,,34.0364,-118.3872,,
10/21/2017,1925,Rampart,ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0531,-118.2694,,
10/16/2017,1,Harbor,THEFT,,33.7224,-118.2924,,
10/21/2017,1045,Devonshire,ASSAULT,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,34.2539,-118.4936,,
10/31/2017,1830,Wilshire,VANDALISM,,34.0362,-118.3494,,
10/9/2017,735,Central,ASSAULT,HAMMER,34.0467,-118.25200000000001,,
10/9/2017,1215,Southwest,THEFT,,34.0209,-118.3406,,
10/6/2017,630,Rampart,BURGLARY,,34.0517,-118.2663,,
10/18/2017,2100,Northeast,SHOPLIFTING,,34.1422,-118.223,,
10/18/2017,1745,Wilshire,THEFT,,34.0761,-118.3731,,
10/24/2017,1900,Newton,VEHICLE,,33.9976,-118.2634,,
10/31/2017,115,Newton,ASSAULT,SEMI-AUTOMATIC PISTOL,33.9896,-118.2445,,
10/26/2017,955,Topanga,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.1932,-118.6346,,
10/17/2017,2200,Pacific,VEHICLE,,33.9601,-118.4518,,
10/2/2017,2300,Foothill,THEFT,,34.279,-118.4173,,
10/21/2017,1100,Central,ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.043,-118.242,,
10/7/2017,2100,N Hollywood,BURGLARY,,34.1504,-118.40299999999999,,
10/12/2017,1455,Devonshire,VANDALISM,,34.2422,-118.4897,,
10/4/2017,1800,Olympic,VIOLATION OF,,34.0491,-118.309,,
10/17/2017,400,Hollenbeck,RAPE,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.073,-118.1987,,
10/5/2017,1400,Hollenbeck,BRANDISH WEAPON,VERBAL THREAT,34.0474,-118.1956,,
10/27/2017,500,Hollenbeck,VEHICLE,,34.0166,-118.2028,,
10/18/2017,1630,Hollenbeck,VANDALISM,,34.0663,-118.1819,,
10/26/2017,1137,Central,BATTERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0423,-118.2452,,
10/12/2017,915,N Hollywood,BRANDISH WEAPON,SEMI-AUTOMATIC PISTOL,34.194,-118.3703,,
10/12/2017,1200,N Hollywood,DOCUMENT FORGERY / STOLEN FELONY,,34.2046,-118.4225,,
10/28/2017,2230,Devonshire,VANDALISM,,34.2559,-118.6151,,
10/19/2017,2000,Mission,THEFT,,34.2374,-118.4676,,
10/15/2017,5,Hollywood,THEFT,,34.1038,-118.3267,,
10/11/2017,1830,Southeast,BURGLARY,,33.9348,-118.2826,,
10/31/2017,2359,Foothill,BURGLARY,,34.2462,-118.4203,,
10/5/2017,1445,West Valley,BURGLARY,,34.2048,-118.5099,,
10/12/2017,1635,Hollywood,VEHICLE,,34.0953,-118.3755,,
10/6/2017,1800,Van Nuys,THEFT,,34.1867,-118.4597,,
10/26/2017,2140,Wilshire,THEFT,UNKNOWN WEAPON/OTHER WEAPON,34.0854,-118.3522,,
10/14/2017,2200,West Valley,ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.1758,-118.5215,,
10/21/2017,1145,Hollywood,VANDALISM,,34.0926,-118.3289,,
10/11/2017,1630,West LA,RAPE,,34.0349,-118.3893,,
10/8/2017,1420,Foothill,VEHICLE,,34.2688,-118.3363,,
10/2/2017,2200,West Valley,THEFT,,34.1769,-118.5384,,
10/14/2017,530,Wilshire,BURGLARY,UNKNOWN WEAPON/OTHER WEAPON,34.0835,-118.3386,,
10/13/2017,1700,Mission,VEHICLE,,34.2397,-118.427,,
